titre,auteurs,description,isbn
La cuisine ancienne,Eloïse Ferreira,"Bienvenue dans LA CUISINE ANCIENNE: Cuisiner avec des ingrédients traditionnels, un chef-d'oeuvre culinaire qui vous invite à vous lancer dans un voyage sensoriel à travers la riche tapisserie de l'histoire culinaire. Dans un monde où les tendances vont et viennent, il y a quelque chose d'intemporel et de profond dans les saveurs qui ont résisté à l'épreuve du temps: des saveurs qui sont tissées dans le tissu de notre patrimoine culinaire collectif. Ce livre de recettes n'est pas simplement un recueil de recettes; c'est une célébration des histoires, des traditions et des goûts qui ont été préservés avec amour et transmis de génération en génération. Alors que nous entrons dans le royaume de LA CUISINE ANCIENNE, imaginez une cuisine remplie d'échos de rires, de murmures de secrets de famille et d'arômes qui vous transportent au coeur de souvenirs précieux. Chaque recette de cette collection témoigne de la résilience des ingrédients qui ont résisté au temps, emportant avec eux les histoires des agriculteurs, des cuisiniers et des générations de familles qui ont nourri et entretenu ces trésors culinaires. Dans cette exploration culinaire, nous plongeons dans les racines de la saveur, révélant l'essence d'ingrédients anciens qui ont été soigneusement cultivés et transmis, souvent de graine en graine. Ce n'est pas seulement un livre de recettes; c'est une expérience immersive dans le monde de l'héritage culinaire, où l'alchimie de la cuisine est une forme d'art qui nous relie à nos racines et aux traditions qui définissent notre identité culinaire. Que vous soyez un chef expérimenté ou un novice en cuisine, LA CUISINE ANCIENNE est votre guide pour cuisiner avec intention et savourer la profondeur des saveurs que seuls des ingrédients traditionnels peuvent offrir. Rejoignez-moi pour redécouvrir la joie de cuisiner comme un acte de narration, où chaque plat est un chapitre du livre de notre patrimoine culinaire. Alors, que le voyage commence: un voyage à travers 100 plats riches et savoureux qui comblent le fossé entre le passé et le présent, nous connectant aux goûts qui ont façonné nos cultures et nos communautés. Que votre cuisine soit remplie non seulement de l'arôme des casseroles qui mijotent, mais aussi des échos d'histoires racontées à travers le langage culinaire. Bienvenue dans une cuisine où les ingrédients traditionnels ne sont pas seulement des composants d'une recette mais sont également porteurs de tradition, de saveur et de l'esprit durable de l'excellence culinaire.",9781836879497
Mon carnet de recettes,Amour de cuisine,Carnet de recettes de cuisine pratique facile d'utilisation qui vous permet de répertorier toutes vos meilleures recettes. 100 recettes vierges à remplir pour votre plaisir et celui de vos proches qui pourront pleinement profiter de vos talents. Une idée de cadeau très appréciable pour des passionnés de cuisine.,9798640918779
Mon carnet de recettes,Cuisine Inspiration,"Vous êtes passionnés de cuisine ? Vous aimez créer des plats délicieux ? Mais vous vous sentez désorganisé(e) ? Est-ce que vos recettes sont éparpillées un peu partout sur des papiers volants ? Si vous avez répondu oui, à au moins l'une de ces questions, alors Notre produit représente la solution. Créer un livre de recettes devient quelque chose de très facile avec ce cahier de recette, Fiches de recette de cuisine à remplir pour conserver ses recettes préférées. Ce carnet de recettes est très utile pour tous ceux qui aiment cuisiner, mais c'est également une idée cadeau très original. Les pages de ce carnet, élégamment arrangées, n'attendent que d'être couvertes de vos recettes. Donne une note a notre produit ça nous fera un grand plaisir :).",9798636820925
Mes recettes préférées,Sarah Cuisine,"""Mes recettes préférées"" est votre fil d'Ariane, un mémento pour passionné de cuisine. Un bloc notes à la hauteur de votre exigence. Simple et facile à utiliser, il sera votre compagnon lors de votre parcours culinaire. Un bloc à remplir, qui vous évitera de perdre vos notes sur le bout de papier de la superbe recette de cuisine transmise par vos amis lors du dernier repas.Il vous facilitera vos notes par des rubriques facilement repérables.Bon appétit",9798605327400
Mes recettes,Ma cuisine que je souhaite transmettre,Cahier de recettes de cuisine à remplir qui permet d'archiver les meilleures recettes que vous souhaitez refaire ou transmettre. Elles seront concentrées dans un même endroit et les instructions complètes à remplir garantissent à quiconque se sert de ce cahier de pouvoir refaire la recette souhaitée.,9798616004598
"Cuisiner en tous temps, en tous lieux",Jean-Philippe Derenne,"Jean-Philippe Derenne propose ici un livre révolutionnaire fondé sur un nouveau mode de cuisson. Avec une simple bouilloire, n’importe qui peut préparer n’importe où des plats délicieux et diététiques. Il suffit de placer des ingrédients dans un sachet en plastique de type congélation puis de déposer celui-ci dans un récipient en plastique, de verser l’eau bouillante, de respecter le temps de cuisson – quelques minutes au maximum – et le plat est prêt ! Cette méthode de cuisson, d’une extrême simplicité, permet de respecter la saveur et les qualités nutritionnelles des ingrédients, sans ajout de corps gras, sans casserole, poêle ni feu de cuisson. Ainsi, en tous temps, en tous lieux, les lecteurs de ce livre détiendront les secrets d’une nouvelle manière de cuisiner, plus facile, plus économique, et surtout plus savoureuse. Le célèbre chef étoilé de L’Arpège, Alain Passard, séduit par cette technique, s’est amusé à élaborer deux recettes totalement inédites. Outre ses 450 recettes, cet ouvrage se lit également comme une encyclopédie amoureuse des produits et de la manière dont, depuis la Babylone antique, on les prépare et on les déguste. Après L’Amateur de cuisine et La Cuisine vagabonde, il constitue le dernier tome du cycle culte de L’Amateur de cuisine. Une cuisine inventive qui ravira les amateurs éclairés, toujours à la recherche d’une innovation, comme ceux que l’idée de préparer des plats trop sophistiqués rebute a priori.",9782213659473
Les essentiels de l'école de cuisine alain ducasse,Alain Ducasse,"Apprenez à maîtriser les essentiels de l'Ecole de Cuisine Alain Ducasse ! Grâce aux cours de cuisine en pas-à-pas illustrés du Chef Romain Corbière, découvrez les 10 meilleures recettes enseignées à l'École de Cuisine Alain Ducasse : déroulés de recettes, astuces et conseils sur les produits phares de l'école, ainsi que les justes techniques qui y sont associées. Le Risotto aux asperges vertes, le Rouget poêlé tomate, olive, basilic ou encore la Tarte citron, basilic n'auront plus de secret pour les initiés ou les amateurs.",9782841235315
Recettes de cuisine traditionnelle de gibiers,"Auguste Escoffier, Pierre-Emmanuel Malissin","Retrouvez dans le Tome XIX Recettes de Cuisine Traditionnelle de Gibiers, les vrais recettes originales de Chevreuil, Lievre, Faisans, Grives Cailles... L'auteur est un des plus grand cuisinier du XXe siècle, un livre indispensable dans sa cuisine pour découvrir ou redécouvrir ses recettes. Certaines recettes sont illustrées et annotées. Note sur l'édition : Auguste Escoffier fut un des plus grands cuisiniers du siècle dernier, son livre phare ""Ma cuisine"" édité en 1934 est toujours la bible de référence des professionnels de la cuisine. Il n'était pas aisé de reproduire intégralement ce livre de 700 pages et 2500 recettes, j'ai fait le choix de le sortir en volumes thématique. En voici le Tome XIX Recettes de Cuisine Traditionnelle de Gibiers recette originale tirée du livre ""Ma cuisine"". Disponible dans la même collection : Tome 1 Recettes de Compotes, Confitures et Gelées Tome II Recettes de Beignets et Puddings Traditionnels Tome III Recettes de potages, crèmes et soupes traditionnelles Tome IV Recettes de sauces Tome V Recettes de Hors-d’oeuvre Tome VI Recettes Oeufs et Omelettes Tome VII Recettes de Farces et Garnitures Tome VIII Recettes de Poissons d'eau douce Tome IX Recettes Poissons de mer Tome X Recettes de Coquillages et Crustacés Tome XI Recettes de Cuisine Traditionnelle de Viande de Boeuf Tome XII Recettes de Cuisine Traditionnelle de Viande de Veau Tome XIII Recettes de Cuisine Traditionnelle de Viande d’Agneau et de Mouton Tome XIV Recettes de Cuisine Traditionnelle de Viande de Porc Tome XV Recettes de Cuisine Traditionnelle de Poularde et Chapon Tome XVI Recettes de Cuisine Traditionnelle de Poulet Tome XVII Recettes de Cuisine Traditionnelle de Volaille (à paraitre) Tome XVIII Recettes de Cuisine Traditionnelle de foie gras Tome XIX Recettes de Cuisine Traditionnelle de Gibiers",9782365042529
Cuisine de bébé,"Geneviève Hamelin, Robert Hamelin","Alors qu'aucun livre de cuisine n'a jamais réservé de chapitre spécial à la cuisine de bébé, ce livre-ci lui est entièrement consacré. C'est que bien des femmes ignorent les rudiments de la cuisine classique, et que les jeunes mamans sont souvent embarrassées lorsqu'il s'agit de mettre en pratique les prescriptions du médecin. Ce livre — le premier du genre — rassemble donc, de façon claire et précise, tout ce qui concerne la préparation des aliments donnés au bébé, depuis sa naissance jusqu'à l'âge — dix-huit mois environ - où son alimentation s'apparente à celle de l'adulte. Les auteurs — un médecin spécialiste accoucheur et une mère de famille expérimentée — se sont attachés à simplifier au maximum la tâche de la jeune mère, en respectant les impératifs qu'impose la médecine à l'élaboration de la cuisine de bébé.",9782701603421
Le carnet du chef,carnet cuisine,"Il est alors peut-être temps d'écrire votre propre livre de cuisine. Créer un livre de recette devient quelque chose de très facile avec ce cahier de recette. Le meilleur livre de recette n'est pas toujours celui des grands chefs, c'est une affaire de goût et qui connait mieux vos goûts que vous-même ? La prochaine fois vos invités vous demanderont où vous avez trouvé la recette de votre délicieux plat vous pourrez leurs répondre « ce sont mes recettes de mon livre de recette ».Ce livre n'est pas uniquement un cahier de recettes de cuisine, c'est également un album photo où vous pourrez mettre les photos de vos meilleures recettes. Les pages du livre ont suffisamment d'espace pour pouvoir rédiger facilement vos recettes. Toutes les pages sont structurées comme celles d'un livre de cuisine classique, afin de faciliter la rédaction et la lecture de vos recettes.",9798578384547
Les recettes de maman,Cuisine Moderne,"Vous êtes passionnés de cuisine ? Vous aimez créer des plats délicieux ? Est-ce que vos recettes sont éparpillées un peu partout sur des papiers volants ? Si vous avez répondu oui, à au moins l'une de ces questions, alors Notre produit représente la solution ! Créer un livre de recettes devient quelque chose de très facile avec ce cahier de recettes a personnalisé. Ce carnet est très utile pour tous ceux qui aiment Collectionner Les meilleures recettes. Constituer votre propre collection de recettes. Cadeau idéal pour un anniversaire, Noël, la fête des mères, la fêtes des grands-mères. Cadeau parfait pour les amoureux de la bonne cuisine maison. Ce carnet comporte : 120 fiches de recettes. Le titre de la recette souhaitée. Les ingrédients. Les étapes à suivre. Le temps de préparation. Le temps de cuisson. Une partie notes & astuces afin d'améliorer ou de varié vos recettes. Donne une note a notre produit ça nous fera un grand plaisir.",9798640303889
Les 12 ingrédients qui changent tout en cuisine,Anna Jones,"La cheffe sélectionne 12 ingrédients clés qui changent tout en cuisine. Parmi eux, le citron, l’huile d’olive, la moutarde, le tahini et bien d’autres. Elle propose 125 plats inédits qui rejoindront rapidement vos recettes préférées, comme le pilaf doublement citronné et amandes au beurre, le dahl à la citronnelle, à l’ail et aux feuilles de curry, les udon au miso aux noix, ou encore la tarte aux pommes à la frangipane de tahini. Vous trouverez également des conseils pratiques sur l’assaisonnement et l’aromatisation des plats, ainsi que de nombreuses idées de substitutions végétariennes inestimables. Les 12 ingrédients qui changent tout en cuisine deviendra votre référence pour la préparation de plats savoureux, simples, rapides et qui promettent des succès culinaires quotidiens.",9782383385271
Les recettes de maman,Cuisine Inspiration,"Vous êtes passionnés de cuisine ? Vous aimez créer des plats délicieux ? Est-ce que vos recettes sont éparpillées un peu partout sur des papiers volants ? Si vous avez répondu oui, à au moins l'une de ces questions, alors Notre produit représente la solution ! Créer un livre de recettes devient quelque chose de très facile avec ce cahier de recettes a personnalisé. Ce carnet est très utile pour tous ceux qui aiment Collectionner Les meilleures recettes. Constituer votre propre collection de recettes. Cadeau idéal pour un anniversaire, Noël, la fête des mères, la fêtes des grands-mères. Cadeau parfait pour les amoureux de la bonne cuisine maison. Ce carnet comporte : 120 fiches de recettes. Le titre de la recette souhaitée. Les ingrédients. Les étapes à suivre. Le temps de préparation. Le temps de cuisson. Une partie notes & astuces afin d'améliorer ou de varié vos recettes. Donne une note a notre produit ça nous fera un grand plaisir.",9798637256112
Il était une fois la cuisine chinoise,Hannah CHE,"DÉCOUVREZ LA CUISINE TRADITIONNELLE ET MODERNE CHINOISE À TRAVERS PLUS DE 100 RECETTES VÉGÉTALES, FRAÎCHES, PLEINES D’UMAMI, DE LÉGUMES ET DE SAVEURS ; PLONGEZ-VOUS DANS L’HISTOIRE CULINAIRE CHINOISE ET SA PRATIQUE, FACILITÉE PAR DE NOMBREUX CONSEILS ET ASTUCES POUR APPRENDRE À MAÎTRISER CETTE CUISINE MILLÉNAIRE.",9782383385301
Le singe cuisinier,Alexandre Stern,"La cuisine n’est pas seulement l’une des pratiques qui nous distingue de l’animal, elle est sans doute à l’origine de ce qui fait notre spécificité d’êtres humains. Depuis plus de 2 millions d’années, notre façon de choisir et de préparer nos aliments nous a façonnés durablement, aussi bien sur le plan physiologique que culturel. Pourtant nous assistons aujourd’hui à la désinvention des pratiques culinaires patiemment accumulées depuis des millénaires. Dans ce contexte, que nous apprend le passé ? À travers le panorama de l’évolution de la cuisine – depuis les sociétés de chasseurs-cueilleurs jusqu’à l’industrialisation de l’alimentation –, l’auteur met en perspective l’origine de nos comportements alimentaires et nous permet de nous interroger sur ce que désormais nous voulons manger. La grande épopée humaine contée à travers la cuisine pour découvrir tout ce que la transformation des aliments a apporté à l’humanité. Alexandre Stern est entrepreneur, consultant et écrivain. Passionné par l’histoire du goût et de l’alimentation et membre du Collège culinaire de France, il partage ses activités entre le développement de sa maison de gastronomie, le conseil auprès des entrepreneurs et l’écriture. Alexandre Stern est ancien élève d’HEC, de New York University et de l’Insead. Il est également l’auteur du livre L’Explorateur du goût (Ducasse Édition).",9782738151995
"Yvonne gibertie,la cuisine des femmes en périgord",Patrice Gibertie,"Je devais cet ouvrage à Maman et aux générations de femmes qui de 1780 à 1980, inventèrent la gastronomie du Périgord. Elle me fit revivre le Périgord de mon enfance, l'aristocratie de ces femmes simples qui cuisinaient si bien. Pour une moitié de sa vie, ma mère a subi la pesanteur du destin, la misère du temps des croquants, mais elle a également vécu les fêtes d'antan. Puis elle a tout bousculé et s'est affranchie des fatalités. Je ne fus que le témoin de cette métamorphose, celle d'une paysanne devenue par son travail une restauratrice reconnue. Vous ne comprendrez rien à notre Science de Gueule si vous ignorez que la cuisine paysanne est celle d'un pays pauvre qui oubliait la misère dans l'abondance des jours de fêtes. Tout naquit de cette sociologie originale aujourd'hui disparue . La gastronomie du Périgord est la clef de voûte d'une harmonie entre une civilisation rurale et des produits d'exception qui engendraient de beaux paysages.",9791095867166
Chinatowns,Jean-François Mallet,"Manger dans un ""chinois"" ! À Paris, à Montréal, à New York, on a tous mangé chinois... À moins que ce ne fût thaï, ou vietnamien, ou cambodgien, on ne sait plus... Chaque fois, ce fût une expérience différente. Les communautés asiatiques ont l'art d'adapter leurs menus aux pays qui les accueillent. Grand reporter et ancien chef de cuisine, Jean-François Mallet a voulu comprendre les ressort de ces métamorphoses. D'un chinatown à l'autre, il s'est glissé dans les coulisses du Nouvel An chinois à Manhattan, dans les arrière-cours de la rue Saint Denis de Montréal, il a assisté à la préparation des canards laqués dans les cuisines de Belleville et du 13ème arrondissement de Paris. Il a réussi à se faire accepter par cette communauté discrète, et à photographier des instants rares. De ce grand voyage... à nos portes, il a rapporté 100 recettes délicieuses et faciles à préparer, qui nous en disent autant sur nous que sur ces goûts réputés... exotiques. Dis-moi ce que tu manges, je te dirai qui tu es...",9782012318953
Recettes petits prix,"Cuisine et Vins de France,","Une entrée, un plat, un dessert pour moins de 6 € par personne, voilà le pari que vous propose Cuisine et Vins de France avec ses idées gourmandes à petits prix. Accompagnant chaque recette, son coût est clairement indiqué pour vous permettre de composer des menus à votre convenance et de régaler vos amis !",9782848310596
Mon carnet de recettes,Food Cuisine,"Un carnet à remplir avec vos meilleures recettes de famille et toutes vos recettes préférées. Un carnet de 100 pages qui va regrouper toutes vos recettes que vous pourrez retrouvez en un coup de main. Son format 15,24 x 22,86 cm, vous permettra de la ranger facilement dans un tiroir de la cuisine. Il sera ainsi accessible à tout moment pour cuisiner. Un carnet qui vous aidera à organiser vos recettes. Le carnet est facile à remplir, vous devrez noter : - le titre de la recette - les ingrédients - la méthode de préparation - 2 pages pour 1 recette. Cela vous laisse la place nécessaire pour noter tous les détails de votre recette. C'est aussi un avantage pour ceux et celles qui ont une grosse écriture. - Vous pouvez également spécifier si votre recette est végétarienne, vegan, sans gluten, sans lactose ou autres. Ces informations sont relativement utiles si vous cuisinez pour des personnes qui ont des modes alimentaires différents. Une idée de cadeau pour vos proches qui aiment la cuisine ou tout simplement un cadeau à s'offrir à soi-même.",9798767373161
La bible top chef des recettes de cuisine traditionnelles,Philippe Da Cruz Lisboa,"Le guide incontournable des recettes de cuisine traditionnelles, incluant 92 recettes détaillées et illustrées du monde entier !Découvrez à quel point la cuisine traditionnelle est simple et délicieuse. Le livre de recettes traditionnelles du monde offre des prises rapides et faciles sur les plats mondiaux classiques, tous conçus pour être cuisinés chez vous.Que vous soyez novice dans la cuisine ou que vous souhaitiez expérimenter à la maison, Cet ouvrage simplifie les choses avec des recettes rapides et à ingrédients limités pour tout. La bible Top Chef des recettes de cuisine traditionnelles comprend plus de 100 recettes authentiques, donc nottemment les titres suivant: BARRIEN D' AGNEAUCERF FUMÉMASSAMAN AU CURRYPORC CHA SHAOBOEUF JAPONAISBBQ D'AGNEAU D'AFRIQUE DU SUDDÉCOUPÉ DE PORC AVEC RAS EL KHANUTBOULETTES DE VIANDE LIBANAISES AUX PIGNONSSTEAK RIBAI AVEC MÉLANGE DE BAKHARATGRAND KARA DANS UN MÉLANGE DE ZATAR ET D'HERBES ÉPICÉES",9798680096802
Mon premier larousse de la cuisine autour du monde,"Agnès Besson, Clémentine Derodit","Plus de 20 recettes sucrées et salées faciles à réaliser par les enfants grâce aux étapes très illustrées. Un tour du monde gustatif ! Pour servir de référent, l’utilisation proposée d’un verre à moutarde « doseur », objet basique dans une cuisine, permet de ne rien peser. Matériels et ingrédients sont présentés en début de recettes, accompagnés d'une belle photo du plat « fini ». Exemples de recettes : le taboulé du Liban, le guacamole du Mexique, le tajine de poulet aux abricots et amandes du Maroc, les lamingtons d'Australie, les scones du Royaume-Uni, etc.",9782036072237
Je cuisine les plantes sauvages : 37 recettes de soupes savoureuses pour émerveillez vos papilles et faire le plein de vitamines,Jonathan La nature comestible,"Bienvenue dans l'univers merveilleux de la cuisine des plantes sauvages ! Si vous cherchez des recettes originales et saines à base de plantes sauvages comestibles, ce livre est fait pour vous. Avec ses 37 recettes de soupes savoureuses, ce guide complet vous apprendra à cuisiner ces plantes souvent négligées, mais pourtant pleines de saveurs et de bienfaits pour la santé. Les recettes sont simples et faciles à suivre, même pour les débutants en cuisine. Nous avons soigneusement sélectionné les meilleures recettes de soupes à base de plantes sauvages comestibles, pour vous offrir une expérience culinaire unique. Laissez-vous séduire par notre soupe de plantain et pommes de terre, qui est non seulement délicieuse, mais aussi bénéfique pour la digestion. Ou essayez notre soupe de feuilles de violettes et chèvrefeuille, qui vous apportera une explosion de saveurs en bouche. Chacune de nos recettes de soupes vous invite à découvrir un monde de saveurs insoupçonnées. En plus des recettes de soupes, ce livre est une mine d'informations sur la cuisine des plantes sauvages et leurs bienfaits pour la santé. Vous y trouverez des astuces pour bien les choisir, les préparer et les conserver, ainsi que des conseils pour les intégrer dans votre alimentation quotidienne. La cuisine des plantes sauvages n'aura plus de secrets pour vous. Ne manquez pas l'occasion de découvrir lacuisine des plantes sauvages avec ce livre de recettes de soupes. Émerveillez vos papilles et faites le plein de vitamines tout en découvrant de nouvelles saveurs. Intégrez les plantes sauvages comestibles dans votre alimentation et prenez soin de votre santé en toute simplicité. La cuisine des plantes sauvages est une façon de renouveler votre cuisine avec des ingrédients sains et originaux. Alors, ne tardez plus et plongez dans notre univers de recettes de soupes à base de plantes sauvages comestibles. Cliquez dès maintenant sur ""Acheter en 1-Click"" et recevez immédiatement votre livre de recettes de soupes à la cuisine des plantes sauvages. Vous allez adorer les saveurs uniques et les bienfaits pour votre santé.",N/A
Le grand livre de la cuisine française,Jean-François Piège,"Réunissant les grandes recettes classiques du patrimoine culinaire français, Le Grand Livre de la cuisine française, recettes bourgeoises et populaires est une bible de près de 1 000 recettes qui deviendra rapidement une référence et un indispensable dans vos cuisines. Des préparations les plus basiques comme la vinaigrette, le beurre blanc ou la mayonnaise, aux plats les plus élaborés tels que la Sole meunière, la Terrine de lapin en gelée ou les Côtelettes d’agneau Champvallon, en passant par ceux qui ont été oubliés comme la Darne de saumon sauvage au chou, le Grenadin de veau à la Zingara ou encore l’Ambassadeur. Jean-François Piège propose, à travers ces recettes inspirées de l’histoire et du territoire, un livre alliant à la fois techniques de réalisation et recettes emblématiques de la cuisine traditionnelle française. Auguste Escoffier disait « La bonne cuisine est la base du véritable bonheur. » L’ambition du Chef est toujours la même : transmettre, en toutes occasions, la volonté de faire plaisir à travers la cuisine française.",9782017120155
Les français et la table,Alain Drouard,"Présente les grandes étapes de l'histoire de l'alimentation en France dans les différentes couches de la société. Etudie l'évolution du régime alimentaire, des techniques de préparation et de conservation des aliments, du statut des cuisiniers, du goût, etc. -Electre 2018",N/A
Nistisima,Georgina Hayden,"Nistisima signifie « nourriture de Carême », une nourriture consommée par les personnes de confession orthodoxe. La plupart du temps, cela implique de renoncer à la viande et aux produits laitiers et d'utiliser des légumes, des légumineuses et des céréales pour créer des plats faciles et délicieux. Dans ce livre, Georgina s'appuie sur l'histoire et la culture de la cuisine ""nistisima"" en Méditerranée, au Moyen-Orient et en Europe de l'Est pour partager 120 recettes.",9782383383581
Convenience food facts,"Arlene Monk, Nancy Cooper","If you think food labels were the final answer to making healthful food choices in the supermarket, Convenience food Facts will convince you otherwise. It makes shopping for convenience foods...convenient!",9781885115362
Ici toutes mes recettes,Top cahier Top cahier de cuisine,"Ce carnet original est spécialement réalisé pour vos repas préférés et partager aux autres membres de la famille.Les pages de recettes sont pourvues de parties lignées pour :- Date- Nom de recette- Types de recette- Temps de préparation- Temps de cuisson- Température- Composants- Préparation- NotesCe cahier de 7.5 x 9.25 pouces, assez grand et léger, offre de la place pour 100 recettes.",9798629658672
J'aime et je cuisine la courgette,"Thomas Aleth, Stéphanie Gentilini","Idéal pour les amoureux de la courgette ! La courgette est un légume riche en vitamines, minéraux et oligoéléments. Découvrez 30 recettes savoureuses pour la cuisiner en toute simplicité. Des plus classiques aux plus originales, découvrez de nouvelles façons de cuisiner la courgette : courgettes à la grecque, parmentier de courgettes à la provençale, tarte de courgettes, feta et pignons, courgettes farcies à la feta, tajine de courgettes au poulet, moussaka de courgettes, crumble de courgettes aux tomates confites, tagliatelles aux courgettes et basilic... Quand on aime, on cuisine !",9782815302807
Mes recettes préférées,Cahiers de cuisine,"Commencer votre expérience culinaire avec beaucoup d'amour ! On vous propose un cahier de recettes à remplir, idéal pour recueillir votre collection de douceurs, mentionner vos modifications et apporter votre touche sucrée et salée avec beaucoup de gourmandise, vous pouvez ainsi organiser vos repas préférés et les faire découvrir aux membres de votre famille et amis. Avec ce cahier de recette, créer ses recettes personnelles devient quelque chose de très facile et de sympa, ça vous permet de mettre fin aux recettes notées sur des feuilles volantes qui s'accumulent dans les tiroirs de votre cuisine. Voici la disposition des pages de ce livre : - Le titre de la recette. - Une rubrique pour écrire les ingrédients. - Une rubrique pour rédiger les étapes de préparation. - Un paragraphe pour mentionner les instructions à suivre à la prochaine préparation, mettre une photo et vos remarques Des casses à remplir comme : -La durée de cuisson. -Le temps de préparation. -Le nombre de personnes. -La notation de la recette. -Calendrier 2021 à 2026. -Tableau de conversion en cuisine. -Organisateur de menu de la semaine. Un beau cadeau pour devenir un chef cuisinier !",9798546070472
La bonne cuisine et les autres,Pierre-Marie Doutrelant,"Pierre-Marie Doutrelant, gourmand comme pas un, rentre d'un tour de France des bonnes tables — et des autres. Il lui vient un terrible soupçon : et si notre vraie cuisine fichait le camp ? Question saugrenue alors que, de partout, montent des cantiques à la table ; alors que journaux, éditeurs, médias concélèbrent la bonne chère comme rarement on le fit en France. La gastronomie devenue phénomène de masse : voilà ses chefs promus stars du chaud business. Ce tohu-bohu, hélas, dissimule des vérités plus navrantes. Primeurs de la Nouvelle Cuisine, bavards du fourneau, maniaques du surgelé, attrape-gogos, barbares du fast food ou de l'épate sont arrivés. Ils tiennent la queue de la poêle. Finiront-ils par tuer à petit feu ces ""succursales de la bonne cuisine franchouillarde, fumantes telle une choucroute alsacienne, bruyantes comme un cassoulet occitan, requinquantes tel un gras-double à la lyonnaise ?"" Ces tables où pour une addition de cent francs, soupire Doutrelant, c'était le pied sous la table, les yeux dans la chopine, bref, la France plantureuse qu'on rêvait éternelle ! L'auteur, qui publia en 1976 un best-seller, les Bons Vins et les Autres, a sillonné l'Hexagone, soulevé les couvercles, humé les sauces, tâté les poulardes, écouté les grands cuisiniers. Entre deux impertinences, il vous donne ses bonnes adresses. Il en reste. Bon appétit !",9791036912818
S'orienter dans la vie : une valeur suprême ?,Francis Danvers,"L'orientation scolaire et professionnelle, l'orientation des adultes et la formation tout au long de la vie sont approchées ici selon les dimensions sociopolitiques, locales et internationales, pédagogiques, économiques et psychologiques. Cet ouvrage ouvre également sur la notion éthique de responsabilité des personnes dans leur auto-orientation, sans esquiver les discriminations, conflits et paradoxes liés à la question du sens de la réussite dans la vie",9782757400777
Psychopathologie,"Jeffrey S. Nevid, Spencer Rathus, Beverly Greene","Ce manuel illustré de nombreux cas cliniques et adapté aux spécificités françaises offre une approche plurielle, riche et actuelle de la psychopathologie.",9782744073588
Psychologies pour la formation,"Philippe Carré, Patrick Mayen","Cet ouvrage est une introduction à l’œuvre d’une douzaine de grands auteurs de la psychologie francophone et anglophone : il présente les principaux concepts de leurs constructions théoriques et une analyse de leur actualité. Chaque chapitre est rédigé dans une visée d’usage pour les pratiques de la formation des adultes, selon la structure suivante : aperçu biographique de l’auteur et contexte de son œuvre ; présentation de la construction théorique et des concepts-clés ; critiques, succession et actualité de la pensée de l’auteur ; inspirations, implications et importance pour les pratiques de formation.",9782100799244
Psychologie positive,"Charles Martin-Krumm, Cyril Tarquinio","Lorsqu'il est question de psychologie positive, il n'est pas uniquement question de psychologie ou de ""choses positives"".Cet ouvrage rassemble 14 contributions issues de la philosophie, de la sociologie, de la psychologie, de la médecine et de l'économie, dans une double perspective : celle du fonctionnement optimal des personnes et de leur bien-être et celle de la prise en charge de leur souffrance psychologique. Un état des lieux des savoirs académiques sur une discipline qui a acquis sa légitimité et qui se développe dans tous les domaines.",9782100796922
Introduction à la psychologie jungienne,Carl Gustav Jung,"En 1925, alors qu’il est accaparé par la rédaction de son Livre rouge, C. G. Jung présente une série de séminaires en anglais au cours desquels il évoque pour la première fois en public son attirance pour le spiritisme, les expériences qu’il en eut, sa rencontre avec Freud, la genèse de sa psychologie et l’expérimentation de ce qu’il a appelé sa « confrontation avec l’inconscient ». Il expose ses idées générales sur les archétypes de l’inconscient collectif, la typologie psychologique et les éléments contrasexuels de la personnalité, l’anima et l'animus, s’appuyant aussi bien sur des cas d’analyse, des discussions sur l’art contemporain que sur l’analyse psychologique de romans populaires. Les notes de ce séminaire constituent le seul écrit biographique de Jung publié à ce jour et rendent compte, de manière claire, de l’essentiel de sa « pensée ». Cette édition révisée est enrichie de notes additionnelles et d’une introduction de Sonu Shamdasani, éminent spécialiste de l’histoire de la psychologie et éditeur du célèbre Livre rouge. Document exceptionnel, le Séminaire de 1925 devrait se trouver entre les mains de quiconque se réclame de l’exemple jungien.",9782226339102
Pratique et théorie de la psychologie individuelle comparée,Alfred Adler,"Dans ""Pratique et théorie de la psychologie individuelle comparée"" d'Alfred Adler, l'auteur présente les principes fondamentaux de sa psychologie individuelle, une approche novatrice dans le champ de la psychologie. Adler propose une vision holistique de l'individu, mettant l'accent sur le rôle central de la motivation sociale dans le développement de la personnalité. Les chapitres I à XIV abordent les concepts clés de la psychologie individuelle, tels que le sentiment d'infériorité, la compensation, la téléologie, et la compréhension du style de vie individuel. Adler explore également la dynamique des relations sociales, la notion de communauté humaine et la façon dont les individus s'adaptent et réagissent à leur environnement. L'approche d'Adler a eu une influence significative dans le domaine de la psychologie, offrant une alternative à la théorie freudienne dominante à l'époque. Sa perspective centrée sur la recherche de sens, la coopération sociale et le développement individuel continue d'inspirer la psychologie contemporaine.",9791041958252
La formation en psychologie,Patricia Mercader,"Traite de la formation universitaire en psychologie, de ses fonctions pédagogiques et de transmission d'une culture. Propose une analyse historique et institutionnelle du champ et des dispositifs et une analyse clinique des processus conscients et inconscients en jeu dans la formation.",9782729707538
